creator_id,market,language,category,followers,avg_views,engagement_rate,follower_growth_30d,videos_30d,campaign_participation_90d,response_rate,conversion_rate,last_active_days,views_per_follower,views_per_follower_pct,engagement_rate_pct,engagement_band,growth_rate_pct,growth_band,posting_frequency_score,recency_score,activity_score,campaign_participation_score,response_rate_pct,response_band,conversion_rate_pct,is_recently_inactive,is_high_engagement,is_high_growth,is_consistently_active,engagement_component,growth_component,activity_component,campaign_component,response_conversion_component,creator_growth_score,growth_score_band,priority_reason,is_high_growth_priority,is_growth_opportunity,needs_reactivation
creator_011,UK,English,Lifestyle,183349,268065,0.0211,-0.05,8,0,0.6769,0.0265,15,1.462047788643516,146.2047788643516,2.11,Low,-5.0,Declining,26.666666666666668,66.66666666666667,42.66666666666667,0.0,67.69,Medium,2.65,True,False,False,False,7.928571428571429,14.285714285714288,42.66666666666667,0.0,46.27564102564102,19.11,Low Priority,Large audience but low engagement,False,False,False
creator_012,Spain,Spanish,Beauty,20989,100650,0.1009,0.1706,27,1,0.6157,0.0634,4,4.795369002810996,479.5369002810996,10.09,Very High,17.06,High Growth,90.0,91.11111111111111,90.44444444444446,8.333333333333332,61.57,Medium,6.34,False,True,True,True,64.92857142857144,77.31428571428573,90.44444444444446,8.333333333333332,66.00641025641025,64.75,Growth Potential,High engagement and strong recent growth,False,True,False
creator_013,Netherlands,Dutch,Food,174951,249896,0.0419,-0.0871,6,2,0.3197,0.0087,25,1.4283770884419067,142.83770884419067,4.19,Medium,-8.709999999999999,Declining,20.0,44.44444444444444,29.77777777777778,16.666666666666664,31.97,Low,0.8699999999999999,True,False,False,False,22.78571428571429,3.6857142857142886,29.77777777777778,16.666666666666664,11.967948717948715,17.41,Low Priority,Declining growth requires closer monitoring,False,False,False
creator_014,UK,English,Beauty,17955,44201,0.1336,0.0582,23,4,0.621,0.0469,4,2.4617655249234196,246.17655249234195,13.36,Very High,5.82,Growing,76.66666666666667,91.11111111111111,82.44444444444446,33.33333333333333,62.1,Medium,4.6899999999999995,False,True,False,True,88.2857142857143,45.20000000000001,82.44444444444446,33.33333333333333,55.76923076923077,64.85,Growth Potential,Consistent activity with moderate growth,False,True,False
creator_015,UK,English,Technology,188844,123524,0.0461,0.0212,18,6,0.618,0.0366,7,0.654106034610578,65.4106034610578,4.61,Medium,2.12,Stable,60.0,84.44444444444444,69.77777777777777,50.0,61.8,Medium,3.66,False,False,False,True,25.78571428571429,34.62857142857143,69.77777777777777,50.0,48.97435897435898,42.75,Developing,Consistent activity with moderate growth,False,False,False
creator_016,UK,English,Food,18650,81731,0.0961,0.0784,10,5,0.8214,0.026,0,4.382359249329759,438.2359249329759,9.61,Very High,7.84,Growing,33.33333333333333,100.0,60.0,41.66666666666667,82.14,High,2.6,False,True,False,True,61.50000000000001,50.971428571428575,60.0,41.66666666666667,55.217948717948715,54.96,Developing,Consistent activity with moderate growth,False,False,False
creator_017,UK,English,Technology,354496,447246,0.0186,-0.0068,18,9,0.4215,0.0129,13,1.261639059397003,126.1639059397003,1.86,Low,-0.6799999999999999,Declining,60.0,71.11111111111111,64.44444444444444,75.0,42.15,Low,1.29,False,False,False,False,6.142857142857142,26.62857142857143,64.44444444444444,75.0,21.18589743589743,34.76,Low Priority,Large audience but low engagement,False,False,False
creator_018,UK,English,Fitness,13970,53143,0.1127,0.1904,29,5,0.9732,0.0169,3,3.804080171796707,380.4080171796707,11.27,Very High,19.040000000000003,High Growth,96.66666666666669,93.33333333333331,95.33333333333334,41.66666666666667,97.32,Very High,1.69,False,True,True,True,73.35714285714286,82.97142857142858,95.33333333333334,41.66666666666667,59.115384615384606,73.98,Growth Potential,High engagement and strong recent growth,False,True,False
creator_019,Spain,Spanish,Fashion,29931,64720,0.1129,0.0694,15,7,0.8027,0.0718,1,2.1623066386021184,216.23066386021185,11.29,Very High,6.94,Growing,50.0,97.77777777777776,69.11111111111111,58.333333333333336,80.27,High,7.180000000000001,False,True,False,True,73.50000000000001,48.400000000000006,69.11111111111111,58.333333333333336,83.37820512820514,65.06,Growth Potential,Consistent activity with moderate growth,False,True,False
creator_020,Poland,Polish,Beauty,178955,252479,0.09,0.0736,9,7,0.8319,0.0117,7,1.4108518901399794,141.08518901399793,9.0,Very High,7.359999999999999,Growing,30.0,84.44444444444444,51.77777777777778,58.333333333333336,83.19,High,1.17,False,True,False,True,57.14285714285715,49.60000000000001,51.77777777777778,58.333333333333336,46.724358974358964,53.32,Developing,Consistent activity with moderate growth,False,False,False
creator_021,Poland,Polish,Fashion,203691,212556,0.0151,-0.0551,8,2,0.4115,0.0288,24,1.0435218050871171,104.35218050871174,1.51,Low,-5.510000000000001,Declining,26.666666666666668,46.666666666666664,34.66666666666667,16.666666666666664,41.15,Low,2.88,True,False,False,False,3.6428571428571437,12.828571428571431,34.66666666666667,16.666666666666664,30.73717948717948,16.81,Low Priority,Large audience but low engagement,False,False,False
creator_022,France,French,Fashion,130662,545846,0.0332,0.0342,15,7,0.3286,0.0154,16,4.1775420550733955,417.7542055073395,3.32,Medium,3.42,Growing,50.0,64.44444444444444,55.77777777777778,58.333333333333336,32.86,Low,1.54,True,False,False,False,16.571428571428573,38.34285714285715,55.77777777777778,58.333333333333336,16.833333333333332,36.15,Low Priority,Moderate performance with room for growth,False,False,False
creator_023,France,French,Food,15500,40461,0.1381,0.0544,12,6,0.7832,0.0762,3,2.6103870967741933,261.0387096774193,13.81,Very High,5.4399999999999995,Growing,40.0,93.33333333333331,61.333333333333336,50.0,78.32000000000001,High,7.62,False,True,False,True,91.5,44.11428571428572,61.333333333333336,50.0,84.94871794871796,66.74,Growth Potential,Consistent activity with moderate growth,False,True,False
creator_024,UK,English,Technology,81503,163502,0.1152,0.1064,18,6,0.871,0.0354,4,2.006085665558323,200.60856655583228,11.52,Very High,10.64,High Growth,60.0,91.11111111111111,72.44444444444446,50.0,87.1,Very High,3.54,False,True,True,True,75.14285714285715,58.971428571428575,72.44444444444446,50.0,64.42307692307693,65.72,Growth Potential,High engagement and strong recent growth,False,True,False
creator_025,Italy,Italian,Lifestyle,494193,508932,0.0474,-0.0191,13,3,0.3366,0.0069,8,1.0298243803534246,102.98243803534244,4.74,Medium,-1.91,Declining,43.333333333333336,82.22222222222221,58.888888888888886,25.0,33.660000000000004,Low,0.69,False,False,False,False,26.71428571428571,23.114285714285714,58.888888888888886,25.0,11.897435897435896,30.51,Low Priority,Declining growth requires closer monitoring,False,False,False
creator_026,Germany,German,Fashion,53434,155169,0.0928,0.132,27,7,0.8519,0.0792,0,2.9039375678407007,290.3937567840701,9.28,Very High,13.2,High Growth,90.0,100.0,94.0,58.333333333333336,85.19,Very High,7.920000000000001,False,True,True,True,59.14285714285715,66.28571428571429,94.0,58.333333333333336,91.27564102564102,70.99,Growth Potential,High engagement and strong recent growth,False,True,False
creator_027,France,French,Beauty,246634,61682,0.089,-0.0656,0,2,0.5043,0.0083,40,0.250095282888815,25.009528288881494,8.9,High,-6.5600000000000005,Declining,0.0,11.111111111111116,4.444444444444446,16.666666666666664,50.43,Medium,0.83,True,True,False,False,56.42857142857144,9.82857142857143,4.444444444444446,16.666666666666664,23.54487179487179,25.13,Low Priority,Currently inactive despite strong engagement,False,False,False
creator_028,Germany,German,Lifestyle,140489,69202,0.0619,0.0805,21,1,0.4915,0.0204,4,0.4925794902091979,49.25794902091979,6.1899999999999995,High,8.05,Growing,70.0,91.11111111111111,78.44444444444446,8.333333333333332,49.15,Low,2.04,False,True,False,True,37.07142857142857,51.57142857142857,78.44444444444446,8.333333333333332,30.480769230769226,44.0,Developing,Consistent activity with moderate growth,False,False,False
creator_029,Germany,German,Lifestyle,26178,65456,0.1293,0.1559,23,11,0.6532,0.0199,2,2.50042020016808,250.042020016808,12.93,Very High,15.590000000000002,High Growth,76.66666666666667,95.55555555555556,84.22222222222223,91.66666666666666,65.32,Medium,1.99,False,True,True,True,85.21428571428572,73.11428571428571,84.22222222222223,91.66666666666666,40.52564102564102,78.49,Growth Potential,High engagement and strong recent growth,False,True,False
creator_030,Poland,Polish,Fashion,120666,101499,0.042,0.0208,22,7,0.8875,0.0074,5,0.8411565809755855,84.11565809755855,4.2,Medium,2.08,Stable,73.33333333333333,88.88888888888889,79.55555555555554,58.333333333333336,88.75,Very High,0.74,False,False,False,True,22.857142857142858,34.51428571428572,79.55555555555554,58.333333333333336,47.53205128205128,44.9,Developing,Consistent activity with moderate growth,False,False,False
creator_031,Germany,German,Food,119650,431777,0.1025,0.1703,14,6,0.9353,0.0785,2,3.608666945257,360.8666945257,10.25,Very High,17.03,High Growth,46.666666666666664,95.55555555555556,66.22222222222221,50.0,93.53,Very High,7.85,False,True,True,True,66.07142857142858,77.22857142857143,66.22222222222221,50.0,96.17307692307692,69.49,Growth Potential,High engagement and strong recent growth,False,True,False
creator_032,UK,English,Lifestyle,115928,139500,0.0791,0.0764,20,2,0.5701,0.0328,1,1.2033331033055,120.33331033055,7.91,High,7.64,Growing,66.66666666666666,97.77777777777776,79.11111111111111,16.666666666666664,57.010000000000005,Medium,3.28,False,True,False,True,49.35714285714287,50.4,79.11111111111111,16.666666666666664,43.467948717948715,50.08,Developing,Consistent activity with moderate growth,False,False,False
creator_033,UK,English,Fashion,15583,28452,0.1045,0.2105,15,1,0.5602,0.0235,2,1.82583584675608,182.583584675608,10.45,Very High,21.05,High Growth,50.0,95.55555555555556,68.22222222222223,8.333333333333332,56.02,Medium,2.35,False,True,True,True,67.5,88.71428571428572,68.22222222222223,8.333333333333332,36.871794871794876,61.01,Growth Potential,High engagement and strong recent growth,False,True,False
creator_034,UK,English,Lifestyle,176160,136522,0.063,0.058,21,5,0.599,0.0069,4,0.7749886466848319,77.4988646684832,6.3,High,5.800000000000001,Growing,70.0,91.11111111111111,78.44444444444446,41.66666666666667,59.9,Medium,0.69,False,True,False,True,37.85714285714286,45.142857142857146,78.44444444444446,41.66666666666667,28.717948717948715,47.45,Developing,Consistent activity with moderate growth,False,False,False
creator_035,Netherlands,Dutch,Beauty,412775,1691559,0.0274,0.0529,9,8,0.6031,0.0138,12,4.098017079522743,409.8017079522743,2.74,Low,5.29,Growing,30.0,73.33333333333334,47.33333333333334,66.66666666666666,60.309999999999995,Medium,1.38,False,False,False,False,12.428571428571429,43.68571428571429,47.33333333333334,66.66666666666666,33.403846153846146,37.46,Low Priority,Large audience but low engagement,False,False,False
creator_036,UK,English,Fitness,5221,14391,0.1116,0.2094,16,8,0.7923,0.0767,5,2.756368511779353,275.6368511779353,11.16,Very High,20.94,High Growth,53.333333333333336,88.88888888888889,67.55555555555556,66.66666666666666,79.23,High,7.670000000000001,False,True,True,True,72.57142857142858,88.4,67.55555555555556,66.66666666666666,85.8525641025641,75.97,Growth Potential,High engagement and strong recent growth,False,True,False
creator_037,Italy,Italian,Lifestyle,71469,209772,0.0947,0.1258,22,7,0.833,0.0275,6,2.9351467069638586,293.51467069638585,9.47,Very High,12.58,High Growth,73.33333333333333,86.66666666666667,78.66666666666666,58.333333333333336,83.3,High,2.75,False,True,True,True,60.50000000000001,64.51428571428572,78.66666666666666,58.333333333333336,56.92307692307693,64.45,Growth Potential,High engagement and strong recent growth,False,True,False
creator_038,Poland,Polish,Lifestyle,114450,123230,0.0651,-0.01,12,2,0.6434,0.0257,10,1.0767147225862823,107.67147225862824,6.510000000000001,High,-1.0,Declining,40.0,77.77777777777779,55.111111111111114,16.666666666666664,64.34,Medium,2.5700000000000003,False,True,False,False,39.35714285714286,25.71428571428572,55.111111111111114,16.666666666666664,43.615384615384606,36.12,Low Priority,Strong engagement but declining growth,False,False,False
creator_039,France,French,Food,132042,228323,0.0787,0.086,19,2,0.7465,0.0156,10,1.7291695066721195,172.91695066721195,7.870000000000001,High,8.6,Growing,63.33333333333333,77.77777777777779,69.11111111111111,16.666666666666664,74.65,High,1.5599999999999998,False,True,False,False,49.071428571428584,53.142857142857146,69.11111111111111,16.666666666666664,43.74999999999999,48.7,Developing,Moderate performance with room for growth,False,False,False
creator_040,Germany,German,Fashion,167749,128296,0.0274,-0.0771,1,0,0.3224,0.0153,9,0.7648093282225229,76.48093282225229,2.74,Low,-7.71,Declining,3.3333333333333335,80.0,34.0,0.0,32.24,Low,1.53,False,False,False,False,12.428571428571429,6.5428571428571445,34.0,0.0,16.371794871794872,13.8,Low Priority,Large audience but low engagement,False,False,False
creator_041,Poland,Polish,Technology,190545,430532,0.0561,0.03,10,6,0.7594,0.0364,12,2.259476764018998,225.9476764018998,5.609999999999999,Medium,3.0,Growing,33.33333333333333,73.33333333333334,49.333333333333336,50.0,75.94,High,3.64,False,False,False,False,32.92857142857143,37.142857142857146,49.333333333333336,50.0,57.9102564102564,42.32,Developing,Moderate performance with room for growth,False,False,False
creator_042,Spain,Spanish,Technology,371559,1654020,0.0286,0.0357,18,3,0.5282,0.0204,16,4.451567584152181,445.15675841521806,2.86,Low,3.5700000000000003,Growing,60.0,64.44444444444444,61.77777777777778,25.0,52.82,Medium,2.04,True,False,False,False,13.285714285714286,38.77142857142858,61.77777777777778,25.0,32.83333333333333,33.07,Low Priority,Large audience but low engagement,False,False,False
creator_043,Italy,Italian,Fitness,161103,76937,0.0834,0.016,1,2,0.4453,0.0057,36,0.4775640428794001,47.756404287940015,8.34,High,1.6,Stable,3.3333333333333335,19.999999999999996,10.0,16.666666666666664,44.529999999999994,Low,0.5700000000000001,True,True,False,False,52.42857142857144,33.142857142857146,10.0,16.666666666666664,18.096153846153843,30.32,Low Priority,Currently inactive despite strong engagement,False,False,False
creator_044,Spain,Spanish,Lifestyle,278311,161867,0.0417,-0.0725,8,0,0.5568,0.0086,17,0.5816047515189842,58.16047515189842,4.17,Medium,-7.249999999999999,Declining,26.666666666666668,62.22222222222222,40.888888888888886,0.0,55.67999999999999,Medium,0.86,True,False,False,False,22.642857142857146,7.857142857142861,40.888888888888886,0.0,27.1025641025641,19.65,Low Priority,Declining growth requires closer monitoring,False,False,False
creator_045,France,French,Fashion,55205,49986,0.1255,0.1883,12,9,0.7845,0.0503,6,0.90546146182411,90.546146182411,12.55,Very High,18.83,High Growth,40.0,86.66666666666667,58.66666666666667,75.0,78.45,High,5.029999999999999,False,True,True,True,82.50000000000001,82.37142857142857,58.66666666666667,75.0,68.42948717948717,75.17,Growth Potential,High engagement and strong recent growth,False,True,False
creator_046,Poland,Polish,Food,23290,91187,0.0814,0.2237,26,3,0.7551,0.076,2,3.9152855302705025,391.52855302705024,8.14,High,22.37,High Growth,86.66666666666667,95.55555555555556,90.22222222222224,25.0,75.51,High,7.6,False,True,True,True,51.000000000000014,92.4857142857143,90.22222222222224,25.0,83.01923076923076,68.52,Growth Potential,High engagement and strong recent growth,False,True,False
creator_047,Poland,Polish,Fitness,141591,10983,0.0773,-0.029,2,0,0.4685,0.0083,36,0.0775684895226391,7.756848952263915,7.73,High,-2.9000000000000004,Declining,6.666666666666667,19.999999999999996,12.0,0.0,46.85,Low,0.83,True,True,False,False,48.07142857142858,20.285714285714292,12.0,0.0,21.25,24.02,Low Priority,Currently inactive despite strong engagement,False,False,False
creator_048,Germany,German,Fitness,197839,313618,0.0441,0.0367,10,5,0.6904,0.0368,9,1.585218283553799,158.52182835537988,4.41,Medium,3.67,Growing,33.33333333333333,80.0,52.0,41.66666666666667,69.04,Medium,3.68,False,False,False,False,24.357142857142858,39.057142857142864,52.0,41.66666666666667,53.743589743589745,39.1,Low Priority,Moderate performance with room for growth,False,False,False
creator_049,UK,English,Fashion,129031,127010,0.045,0.016,13,2,0.6546,0.0175,6,0.9843370972866984,98.43370972866984,4.5,Medium,1.6,Stable,43.333333333333336,86.66666666666667,60.66666666666667,16.666666666666664,65.46,Medium,1.7500000000000002,False,False,False,True,25.0,33.142857142857146,60.66666666666667,16.666666666666664,39.07692307692307,34.33,Low Priority,Consistent activity with moderate growth,False,False,False
creator_050,Netherlands,Dutch,Beauty,15911,12365,0.0814,0.1487,19,1,0.8296,0.0647,5,0.7771353151907485,77.71353151907485,8.14,High,14.87,High Growth,63.33333333333333,88.88888888888889,73.55555555555554,8.333333333333332,82.96,High,6.47,False,True,True,True,51.000000000000014,71.05714285714286,73.55555555555554,8.333333333333332,80.55128205128204,57.08,Developing,High engagement and strong recent growth,False,False,False
creator_051,UK,English,Beauty,425758,1518931,0.0161,-0.0074,14,3,0.582,0.007,8,3.567592388164168,356.7592388164168,1.61,Low,-0.74,Declining,46.666666666666664,82.22222222222221,60.888888888888886,25.0,58.2,Medium,0.7000000000000001,False,False,False,False,4.357142857142858,26.457142857142856,60.888888888888886,25.0,27.692307692307686,26.62,Low Priority,Large audience but low engagement,False,False,False
creator_052,UK,English,Technology,196313,357766,0.0413,0.0719,12,1,0.7104,0.0376,9,1.8224264312602831,182.24264312602833,4.130000000000001,Medium,7.19,Growing,40.0,80.0,56.0,8.333333333333332,71.04,High,3.76,False,False,False,False,22.35714285714286,49.114285714285714,56.0,8.333333333333332,55.53846153846153,36.99,Low Priority,Moderate performance with room for growth,False,False,False
creator_053,Netherlands,Dutch,Technology,6998,25267,0.0853,0.1819,28,1,0.5938,0.0641,6,3.610603029436982,361.0603029436982,8.53,High,18.19,High Growth,93.33333333333331,86.66666666666667,90.66666666666666,8.333333333333332,59.38,Medium,6.41,False,True,True,True,53.78571428571429,80.54285714285716,90.66666666666666,8.333333333333332,65.05128205128206,62.16,Growth Potential,High engagement and strong recent growth,False,True,False
creator_054,Spain,Spanish,Food,18766,39913,0.0541,0.0328,13,1,0.6777,0.0176,6,2.1268783971011405,212.68783971011405,5.41,Medium,3.28,Growing,43.333333333333336,86.66666666666667,60.66666666666667,8.333333333333332,67.77,Medium,1.76,False,False,False,True,31.500000000000007,37.94285714285714,60.66666666666667,8.333333333333332,40.62179487179486,36.38,Low Priority,Consistent activity with moderate growth,False,False,False
creator_055,UK,English,Technology,234221,148757,0.0846,-0.008,1,0,0.6036,0.0242,29,0.6351138454707307,63.51138454707307,8.459999999999999,High,-0.8,Declining,3.3333333333333335,35.55555555555555,16.22222222222222,0.0,60.36,Medium,2.42,True,True,False,False,53.28571428571429,26.285714285714285,16.22222222222222,0.0,40.1025641025641,29.81,Low Priority,Currently inactive despite strong engagement,False,False,False
creator_056,Netherlands,Dutch,Fitness,122183,275085,0.0804,0.0492,13,7,0.5605,0.0378,4,2.251417955034661,225.1417955034661,8.04,High,4.92,Growing,43.333333333333336,91.11111111111111,62.44444444444445,58.333333333333336,56.05,Medium,3.78,False,True,False,True,50.28571428571429,42.62857142857143,62.44444444444445,58.333333333333336,46.05769230769231,51.59,Developing,Consistent activity with moderate growth,False,False,False
creator_057,Germany,German,Food,22395,46973,0.1065,0.0363,18,1,0.7596,0.0348,2,2.0974771154275507,209.74771154275507,10.65,Very High,3.63,Growing,60.0,95.55555555555556,74.22222222222223,8.333333333333332,75.96000000000001,High,3.4799999999999995,False,True,False,True,68.92857142857144,38.94285714285714,74.22222222222223,8.333333333333332,56.8974358974359,52.2,Developing,Consistent activity with moderate growth,False,False,False
creator_058,Poland,Polish,Lifestyle,153697,139046,0.0356,0.0848,9,2,0.774,0.0226,12,0.9046760834629172,90.46760834629173,3.56,Medium,8.48,Growing,30.0,73.33333333333334,47.33333333333334,16.666666666666664,77.4,High,2.26,False,False,False,False,18.285714285714285,52.80000000000001,47.33333333333334,16.666666666666664,50.0,35.65,Low Priority,Moderate performance with room for growth,False,False,False
creator_059,France,French,Fitness,12520,19559,0.0401,0.0122,19,2,0.5878,0.0258,7,1.562220447284345,156.2220447284345,4.01,Medium,1.22,Stable,63.33333333333333,84.44444444444444,71.77777777777777,16.666666666666664,58.78,Medium,2.58,False,False,False,True,21.5,32.057142857142864,71.77777777777777,16.666666666666664,40.11538461538461,35.33,Low Priority,Consistent activity with moderate growth,False,False,False
creator_060,Germany,German,Food,87214,14266,0.0417,-0.041,1,1,0.3268,0.0186,31,0.1635746554452266,16.357465544522668,4.17,Medium,-4.1000000000000005,Declining,3.3333333333333335,31.11111111111111,14.444444444444445,8.333333333333332,32.68,Low,1.86,True,False,False,False,22.642857142857146,16.85714285714286,14.444444444444445,8.333333333333332,18.769230769230766,17.02,Low Priority,Declining growth requires closer monitoring,False,False,False
creator_061,France,French,Fashion,58211,143145,0.0469,0.0384,19,5,0.8895,0.0238,4,2.4590713095463057,245.90713095463056,4.6899999999999995,Medium,3.84,Growing,63.33333333333333,91.11111111111111,74.44444444444444,41.66666666666667,88.94999999999999,Very High,2.3800000000000003,False,False,False,True,26.357142857142858,39.542857142857144,74.44444444444444,41.66666666666667,58.17307692307692,44.75,Developing,Consistent activity with moderate growth,False,False,False
creator_062,Poland,Polish,Lifestyle,194079,638455,0.0221,0.0508,6,6,0.3228,0.0033,9,3.289665548565275,328.96655485652747,2.21,Low,5.08,Growing,20.0,80.0,44.0,50.0,32.28,Low,0.33,False,False,False,False,8.642857142857146,43.08571428571428,44.0,50.0,8.705128205128203,30.53,Low Priority,Large audience but low engagement,False,False,False
creator_063,UK,English,Fitness,58785,28854,0.063,-0.034,8,3,0.4202,0.0072,8,0.4908394998724164,49.083949987241645,6.3,High,-3.4000000000000004,Declining,26.666666666666668,82.22222222222221,48.888888888888886,25.0,42.02,Low,0.72,False,True,False,False,37.85714285714286,18.857142857142858,48.888888888888886,25.0,17.44871794871795,31.34,Low Priority,Strong engagement but declining growth,False,False,False
creator_064,Poland,Polish,Beauty,57521,56433,0.1093,0.1612,11,5,0.6992,0.0516,4,0.9810851688948384,98.10851688948384,10.93,Very High,16.12,High Growth,36.666666666666664,91.11111111111111,58.44444444444444,41.66666666666667,69.92,Medium,5.16,False,True,True,True,70.92857142857144,74.62857142857143,58.44444444444444,41.66666666666667,63.794871794871796,64.25,Growth Potential,High engagement and strong recent growth,False,True,False
creator_065,Germany,German,Fitness,166942,368332,0.0678,0.0518,20,5,0.6212,0.0369,4,2.2063471145667357,220.6347114566736,6.78,High,5.18,Growing,66.66666666666666,91.11111111111111,76.44444444444444,41.66666666666667,62.12,Medium,3.69,False,True,False,True,41.285714285714285,43.371428571428574,76.44444444444444,41.66666666666667,49.37179487179487,49.7,Developing,Consistent activity with moderate growth,False,False,False
creator_066,Belgium,French,Food,131578,148450,0.0344,0.054,16,5,0.6128,0.0081,2,1.1282281232424871,112.82281232424872,3.44,Medium,5.4,Growing,53.333333333333336,95.55555555555556,70.22222222222223,41.66666666666667,61.28,Medium,0.8099999999999999,False,False,False,True,17.42857142857143,44.0,70.22222222222223,41.66666666666667,30.37179487179487,39.56,Low Priority,Consistent activity with moderate growth,False,False,False
creator_067,UK,English,Beauty,58545,54733,0.106,0.1647,19,3,0.7264,0.061,7,0.934887693227432,93.4887693227432,10.6,Very High,16.470000000000002,High Growth,63.33333333333333,84.44444444444444,71.77777777777777,25.0,72.64,High,6.1,False,True,True,True,68.57142857142858,75.62857142857145,71.77777777777777,25.0,71.56410256410257,64.74,Growth Potential,High engagement and strong recent growth,False,True,False
creator_068,UK,English,Technology,409219,1557702,0.0364,0.0734,10,3,0.5723,0.0169,8,3.8065241349986194,380.6524134998619,3.64,Medium,7.340000000000001,Growing,33.33333333333333,82.22222222222221,52.888888888888886,25.0,57.23,Medium,1.69,False,False,False,False,18.857142857142858,49.542857142857144,52.888888888888886,25.0,33.41666666666667,35.71,Low Priority,Moderate performance with room for growth,False,False,False
