creator_id,market,language,category,creator_growth_score,score_band,primary_segment,segment_reason,secondary_opportunity,is_high_growth_priority,is_growth_opportunity,needs_reactivation,is_high_engagement,is_high_growth,is_consistently_active,activity_score,campaign_participation_score,response_rate_pct,conversion_rate_pct,last_active_days
creator_050,Netherlands,Dutch,Beauty,57.08,Developing,Consistent Active,Consistent activity and strong engagement support ongoing community work.,Campaign Activation,False,False,False,True,True,True,73.55555555555554,8.333333333333332,82.96,6.47,5
creator_051,UK,English,Beauty,26.62,Low Priority,Other / Developing,"Limited current signals; monitor engagement, growth, and activity changes.",Monitor,False,False,False,False,False,False,60.888888888888886,25.0,58.2,0.7000000000000001,8
creator_052,UK,English,Technology,36.99,Low Priority,Other / Developing,"Limited current signals; monitor engagement, growth, and activity changes.",Monitor,False,False,False,False,False,False,56.0,8.333333333333332,71.04,3.76,9
creator_053,Netherlands,Dutch,Technology,62.16,Growth Potential,Growth Opportunity,Growth signals are strong; campaign participation can be developed.,Growth Support,False,True,False,True,True,True,90.66666666666666,8.333333333333332,59.38,6.41,6
creator_054,Spain,Spanish,Food,36.38,Low Priority,Consistent Active,Consistent recent activity supports ongoing community engagement.,Campaign Activation,False,False,False,False,False,True,60.66666666666667,8.333333333333332,67.77,1.76,6
creator_055,UK,English,Technology,29.81,Low Priority,Other / Developing,Limited current signals and recent inactivity call for monitoring.,Monitor,False,False,False,True,False,False,16.22222222222222,0.0,60.36,2.42,29
creator_056,Netherlands,Dutch,Fitness,51.59,Developing,Consistent Active,Consistent activity and strong engagement support ongoing community work.,Campaign Activation,False,False,False,True,False,True,62.44444444444445,58.333333333333336,56.05,3.78,4
creator_057,Germany,German,Food,52.2,Developing,Consistent Active,Consistent activity and strong engagement support ongoing community work.,Campaign Activation,False,False,False,True,False,True,74.22222222222223,8.333333333333332,75.96000000000001,3.4799999999999995,2
creator_058,Poland,Polish,Lifestyle,35.65,Low Priority,Other / Developing,"Limited current signals; monitor engagement, growth, and activity changes.",Monitor,False,False,False,False,False,False,47.33333333333334,16.666666666666664,77.4,2.26,12
creator_059,France,French,Fitness,35.33,Low Priority,Consistent Active,Consistent recent activity supports ongoing community engagement.,Campaign Activation,False,False,False,False,False,True,71.77777777777777,16.666666666666664,58.78,2.58,7
creator_060,Germany,German,Food,17.02,Low Priority,Other / Developing,Limited current signals and recent inactivity call for monitoring.,Monitor,False,False,False,False,False,False,14.444444444444445,8.333333333333332,32.68,1.86,31
creator_061,France,French,Fashion,44.75,Developing,Consistent Active,Consistent recent activity supports ongoing community engagement.,Campaign Activation,False,False,False,False,False,True,74.44444444444444,41.66666666666667,88.94999999999999,2.3800000000000003,4
creator_062,Poland,Polish,Lifestyle,30.53,Low Priority,Other / Developing,"Limited current signals; monitor engagement, growth, and activity changes.",Monitor,False,False,False,False,False,False,44.0,50.0,32.28,0.33,9
creator_063,UK,English,Fitness,31.34,Low Priority,Other / Developing,"Limited current signals; monitor engagement, growth, and activity changes.",Monitor,False,False,False,True,False,False,48.888888888888886,25.0,42.02,0.72,8
creator_064,Poland,Polish,Beauty,64.25,Growth Potential,Growth Opportunity,High recent growth indicates a clear opportunity for support.,Growth Support,False,True,False,True,True,True,58.44444444444444,41.66666666666667,69.92,5.16,4
creator_065,Germany,German,Fitness,49.7,Developing,Consistent Active,Consistent activity and strong engagement support ongoing community work.,Campaign Activation,False,False,False,True,False,True,76.44444444444444,41.66666666666667,62.12,3.69,4
creator_066,Belgium,French,Food,39.56,Low Priority,Consistent Active,Consistent recent activity supports ongoing community engagement.,Campaign Activation,False,False,False,False,False,True,70.22222222222223,41.66666666666667,61.28,0.8099999999999999,2
creator_067,UK,English,Beauty,64.74,Growth Potential,Growth Opportunity,Growth signals are strong; campaign participation can be developed.,Growth Support,False,True,False,True,True,True,71.77777777777777,25.0,72.64,6.1,7
creator_068,UK,English,Technology,35.71,Low Priority,Other / Developing,"Limited current signals; monitor engagement, growth, and activity changes.",Monitor,False,False,False,False,False,False,52.888888888888886,25.0,57.23,1.69,8
creator_069,UK,English,Lifestyle,78.11,Growth Potential,Growth Opportunity,High recent growth indicates a clear opportunity for support.,Growth Support,False,True,False,True,True,True,72.66666666666666,83.33333333333334,69.1,5.9799999999999995,6
creator_070,France,French,Beauty,54.84,Developing,Consistent Active,Consistent activity and strong engagement support ongoing community work.,Campaign Activation,False,False,False,True,True,True,71.55555555555556,33.33333333333333,65.77,1.64,5
creator_071,France,French,Technology,12.16,Low Priority,Other / Developing,Limited current signals and recent inactivity call for monitoring.,Monitor,False,False,False,False,False,False,14.22222222222222,8.333333333333332,48.54,1.22,29
creator_072,France,French,Fitness,42.4,Developing,Consistent Active,Consistent activity and strong engagement support ongoing community work.,Campaign Activation,False,False,False,True,False,True,60.66666666666667,50.0,49.71,1.15,6
creator_073,Germany,German,Food,17.52,Low Priority,Other / Developing,Limited current signals and recent inactivity call for monitoring.,Monitor,False,False,False,False,False,False,9.111111111111114,0.0,73.36,1.13,37
creator_074,UK,English,Fitness,22.78,Low Priority,Other / Developing,"Limited current signals; monitor engagement, growth, and activity changes.",Monitor,False,False,False,False,False,False,48.44444444444444,25.0,51.27,2.33,13
creator_075,UK,English,Technology,36.54,Low Priority,Consistent Active,Consistent recent activity supports ongoing community engagement.,Campaign Activation,False,False,False,False,False,True,66.0,41.66666666666667,65.49000000000001,0.91,0
creator_076,UK,English,Beauty,29.59,Low Priority,Other / Developing,Limited current signals and recent inactivity call for monitoring.,Monitor,False,False,False,True,False,False,1.777777777777776,8.333333333333332,71.3,0.8699999999999999,43
creator_077,Poland,Polish,Fashion,24.23,Low Priority,Other / Developing,Limited current signals and recent inactivity call for monitoring.,Monitor,False,False,False,False,False,False,23.555555555555557,16.666666666666664,61.05,0.51,23
creator_078,Spain,Spanish,Food,67.08,Growth Potential,Growth Opportunity,Growth signals are strong; campaign participation can be developed.,Campaign Activation,False,True,False,True,False,True,68.66666666666667,33.33333333333333,79.94,5.62,6
creator_079,France,French,Food,68.52,Growth Potential,Growth Opportunity,High recent growth indicates a clear opportunity for support.,Growth Support,False,True,False,True,True,True,62.66666666666667,41.66666666666667,65.27,3.68,6
creator_080,UK,English,Technology,50.74,Developing,Consistent Active,Consistent recent activity supports ongoing community engagement.,Campaign Activation,False,False,False,False,False,True,82.0,50.0,89.14,2.28,0
creator_081,Netherlands,Dutch,Beauty,64.43,Growth Potential,Growth Opportunity,High recent growth indicates a clear opportunity for support.,Growth Support,False,True,False,True,True,True,55.111111111111114,41.66666666666667,61.2,7.1,1
creator_082,Spain,Spanish,Food,33.45,Low Priority,Other / Developing,Limited current signals and recent inactivity call for monitoring.,Monitor,False,False,False,False,False,False,44.66666666666667,83.33333333333334,49.0,0.93,15
creator_083,UK,English,Technology,86.44,High Potential,High Potential,High-priority creator with strong engagement and growth momentum.,Community Nurturing,True,False,False,True,True,True,63.111111111111114,75.0,97.29,6.4399999999999995,1
creator_084,Italy,Italian,Beauty,23.99,Low Priority,Other / Developing,Limited current signals and recent inactivity call for monitoring.,Monitor,False,False,False,False,False,False,29.77777777777778,25.0,27.28,1.69,25
creator_085,UK,English,Food,77.9,Growth Potential,Growth Opportunity,High recent growth indicates a clear opportunity for support.,Growth Support,False,True,False,True,True,True,86.44444444444446,100.0,69.72,4.5,4
creator_086,Italy,Italian,Fitness,24.21,Low Priority,Other / Developing,Limited current signals and recent inactivity call for monitoring.,Monitor,False,False,False,False,False,False,38.22222222222223,16.666666666666664,69.38,1.04,20
creator_087,France,French,Fitness,30.58,Low Priority,Other / Developing,"Limited current signals; monitor engagement, growth, and activity changes.",Monitor,False,False,False,False,False,False,47.33333333333334,50.0,79.63,0.88,12
creator_088,France,French,Technology,50.46,Developing,Other / Developing,"Limited current signals; monitor engagement, growth, and activity changes.",Monitor,False,False,False,True,False,False,71.33333333333334,25.0,79.91,1.38,12
creator_089,Italy,Italian,Technology,48.7,Developing,Consistent Active,Consistent activity and strong engagement support ongoing community work.,Campaign Activation,False,False,False,True,False,True,60.0,50.0,49.370000000000005,2.73,0
creator_090,France,French,Technology,36.8,Low Priority,Other / Developing,"Limited current signals; monitor engagement, growth, and activity changes.",Monitor,False,False,False,False,False,False,70.88888888888889,33.33333333333333,52.900000000000006,1.05,8
creator_091,Germany,German,Lifestyle,67.13,Growth Potential,Growth Opportunity,Growth signals are strong; campaign participation can be developed.,Growth Support,False,True,False,True,True,True,86.0,16.666666666666664,87.1,3.37,0
creator_092,UK,English,Fashion,55.06,Developing,Consistent Active,Consistent activity and strong engagement support ongoing community work.,Campaign Activation,False,False,False,True,False,True,76.66666666666667,58.333333333333336,70.08,0.91,6
creator_093,France,French,Technology,60.02,Growth Potential,Growth Opportunity,Growth signals are strong; campaign participation can be developed.,Growth Support,False,True,False,True,True,True,96.0,16.666666666666664,59.66,2.64,0
creator_094,Netherlands,Dutch,Food,38.42,Low Priority,Consistent Active,Consistent recent activity supports ongoing community engagement.,Campaign Activation,False,False,False,False,False,True,61.111111111111114,50.0,62.46000000000001,0.47,1
creator_095,Germany,German,Beauty,66.25,Growth Potential,Growth Opportunity,Growth signals are strong; campaign participation can be developed.,Campaign Activation,False,True,False,True,False,True,80.44444444444444,16.666666666666664,83.83,6.2,4
creator_096,Spain,Spanish,Fitness,61.93,Growth Potential,Growth Opportunity,High recent growth indicates a clear opportunity for support.,Growth Support,False,True,False,True,True,True,79.77777777777777,58.333333333333336,66.08000000000001,3.91,7
creator_097,UK,English,Technology,68.12,Growth Potential,Growth Opportunity,Growth signals are strong; campaign participation can be developed.,Growth Support,False,True,False,True,True,True,78.0,0.0,72.11999999999999,2.33,0
creator_098,Spain,Spanish,Fashion,75.02,Growth Potential,Growth Opportunity,High recent growth indicates a clear opportunity for support.,Growth Support,False,True,False,True,True,True,59.33333333333333,66.66666666666666,73.04,2.32,3
creator_099,Spain,Spanish,Fashion,29.55,Low Priority,Consistent Active,Consistent recent activity supports ongoing community engagement.,Campaign Activation,False,False,False,False,False,True,72.44444444444446,16.666666666666664,43.86,2.46,4
creator_100,Spain,Spanish,Beauty,69.89,Growth Potential,Growth Opportunity,High recent growth indicates a clear opportunity for support.,Growth Support,False,True,False,True,True,True,74.0,100.0,75.68,2.63,0
creator_101,France,French,Beauty,65.78,Growth Potential,Growth Opportunity,Growth signals are strong; campaign participation can be developed.,Growth Support,False,True,False,True,True,True,96.0,33.33333333333333,79.92,2.94,0
creator_102,Poland,Polish,Lifestyle,45.61,Developing,Consistent Active,Consistent activity and strong engagement support ongoing community work.,Campaign Activation,False,False,False,True,False,True,63.77777777777778,58.333333333333336,63.07000000000001,2.93,7
creator_103,France,French,Lifestyle,19.22,Low Priority,Other / Developing,Limited current signals and recent inactivity call for monitoring.,Monitor,False,False,False,False,False,False,38.888888888888886,33.33333333333333,47.42,1.11,26
creator_104,France,French,Beauty,47.63,Developing,Consistent Active,Consistent recent activity supports ongoing community engagement.,Campaign Activation,False,False,False,False,False,True,78.66666666666666,58.333333333333336,69.81,3.54,6
creator_105,UK,English,Fitness,57.01,Developing,Consistent Active,Consistent activity and strong engagement support ongoing community work.,Campaign Activation,False,False,False,True,False,True,81.11111111111111,16.666666666666664,83.6,3.62,1
creator_106,France,French,Beauty,70.54,Growth Potential,Growth Opportunity,High recent growth indicates a clear opportunity for support.,Growth Support,False,True,False,True,True,True,77.55555555555556,41.66666666666667,83.36,5.3100000000000005,5
creator_107,Germany,German,Fitness,25.08,Low Priority,Other / Developing,Limited current signals and recent inactivity call for monitoring.,Monitor,False,False,False,True,False,False,27.11111111111111,0.0,48.9,0.8,28
creator_108,Poland,Polish,Food,56.52,Developing,Consistent Active,Consistent activity and strong engagement support ongoing community work.,Campaign Activation,False,False,False,True,False,True,64.66666666666667,25.0,91.34,7.82,6
creator_109,Italy,Italian,Food,42.88,Developing,Consistent Active,Consistent activity and strong engagement support ongoing community work.,Campaign Activation,False,False,False,True,False,True,55.55555555555556,25.0,76.62,1.65,5
creator_110,UK,English,Technology,57.3,Developing,Consistent Active,Consistent activity and strong engagement support ongoing community work.,Campaign Activation,False,False,False,True,True,True,54.66666666666667,33.33333333333333,89.62,2.9000000000000004,6
creator_111,UK,English,Lifestyle,35.3,Low Priority,Other / Developing,"Limited current signals; monitor engagement, growth, and activity changes.",Monitor,False,False,False,False,False,False,50.22222222222222,33.33333333333333,67.72,0.31,2
creator_112,Italy,Italian,Fitness,59.46,Developing,Consistent Active,Consistent activity and strong engagement support ongoing community work.,Campaign Activation,False,False,False,True,True,True,57.55555555555556,16.666666666666664,73.49,2.98,5
creator_113,France,French,Fashion,36.23,Low Priority,Other / Developing,"Limited current signals; monitor engagement, growth, and activity changes.",Monitor,False,False,False,False,False,False,46.888888888888886,50.0,77.27000000000001,1.96,8
creator_114,UK,English,Fitness,60.53,Growth Potential,Growth Opportunity,Growth signals are strong; campaign participation can be developed.,Growth Support,False,True,False,True,True,True,68.22222222222223,33.33333333333333,79.03,5.680000000000001,2
creator_115,Poland,Polish,Beauty,88.85,High Potential,High Potential,High-priority creator with strong engagement and growth momentum.,Community Nurturing,True,False,False,True,True,True,90.66666666666666,75.0,83.91999999999999,6.11,6
creator_116,Germany,German,Fashion,29.18,Low Priority,Other / Developing,Limited current signals and recent inactivity call for monitoring.,Monitor,False,False,False,True,False,False,19.11111111111111,8.333333333333332,24.85,2.1399999999999997,28
creator_117,Germany,German,Lifestyle,57.42,Developing,Consistent Active,Consistent activity and strong engagement support ongoing community work.,Campaign Activation,False,False,False,True,True,True,67.33333333333334,33.33333333333333,81.85,2.24,3
creator_118,Germany,German,Technology,33.99,Low Priority,Other / Developing,"Limited current signals; monitor engagement, growth, and activity changes.",Monitor,False,False,False,False,False,False,53.111111111111114,16.666666666666664,72.11,3.18,10
creator_119,Netherlands,Dutch,Fitness,51.97,Developing,Consistent Active,Consistent activity and strong engagement support ongoing community work.,Campaign Activation,False,False,False,True,False,True,79.55555555555554,41.66666666666667,73.92999999999999,3.95,5
creator_120,Italy,Italian,Beauty,70.43,Growth Potential,Growth Opportunity,High recent growth indicates a clear opportunity for support.,Growth Support,False,True,False,True,True,True,72.44444444444446,100.0,66.85,4.8,4
creator_121,UK,English,Lifestyle,71.71,Growth Potential,Growth Opportunity,Growth signals are strong; campaign participation can be developed.,Growth Support,False,True,False,True,True,True,56.44444444444444,33.33333333333333,80.55,3.69,4
creator_122,Spain,Spanish,Fitness,17.85,Low Priority,Other / Developing,Limited current signals and recent inactivity call for monitoring.,Monitor,False,False,False,False,False,False,30.88888888888889,0.0,42.53,2.47,17
creator_123,UK,English,Beauty,51.55,Developing,Consistent Active,Consistent activity and strong engagement support ongoing community work.,Campaign Activation,False,False,False,True,False,True,68.44444444444446,41.66666666666667,72.44,1.84,4
creator_124,Spain,Spanish,Beauty,40.22,Developing,Other / Developing,"Limited current signals; monitor engagement, growth, and activity changes.",Monitor,False,False,False,True,False,False,48.22222222222223,41.66666666666667,75.53,1.5699999999999998,11
creator_125,Netherlands,Dutch,Fashion,40.45,Developing,Other / Developing,"Limited current signals; monitor engagement, growth, and activity changes.",Monitor,False,False,False,False,False,False,75.11111111111111,25.0,58.96,2.83,10
creator_126,Italy,Italian,Lifestyle,21.52,Low Priority,Other / Developing,Limited current signals and recent inactivity call for monitoring.,Monitor,False,False,False,False,False,False,2.666666666666666,16.666666666666664,58.66,2.3800000000000003,42
creator_127,UK,English,Food,35.47,Low Priority,Consistent Active,Consistent recent activity supports ongoing community engagement.,Campaign Activation,False,False,False,False,False,True,59.33333333333333,25.0,87.64999999999999,2.25,3
creator_128,UK,English,Beauty,43.86,Developing,Other / Developing,Limited current signals and recent inactivity call for monitoring.,Monitor,False,False,False,False,False,False,59.111111111111114,83.33333333333334,31.89,0.97,19
creator_129,Germany,German,Technology,75.34,Growth Potential,Growth Opportunity,Growth signals are strong; campaign participation can be developed.,Growth Support,False,True,False,True,True,True,85.33333333333334,25.0,78.56,5.8999999999999995,3
creator_130,Italy,Italian,Fitness,49.19,Developing,Consistent Active,Consistent activity and strong engagement support ongoing community work.,Campaign Activation,False,False,False,True,False,True,75.55555555555554,58.333333333333336,66.11,3.44,5
creator_131,France,French,Lifestyle,58.09,Developing,Consistent Active,Consistent activity and strong engagement support ongoing community work.,Campaign Activation,False,False,False,True,True,True,64.22222222222223,8.333333333333332,89.45,1.97,2
creator_132,France,French,Beauty,70.52,Growth Potential,Growth Opportunity,Growth signals are strong; campaign participation can be developed.,Growth Support,False,True,False,True,True,True,70.44444444444446,0.0,87.81,2.91,4
creator_133,France,French,Fashion,17.14,Low Priority,Other / Developing,Limited current signals and recent inactivity call for monitoring.,Monitor,False,False,False,False,False,False,15.111111111111112,8.333333333333332,22.93,1.35,28
creator_134,UK,English,Lifestyle,35.8,Low Priority,Other / Developing,Limited current signals and recent inactivity call for monitoring.,Monitor,False,False,False,False,False,False,58.66666666666667,33.33333333333333,36.88,0.86,15
creator_135,UK,English,Fitness,31.22,Low Priority,Other / Developing,"Limited current signals; monitor engagement, growth, and activity changes.",Monitor,False,False,False,False,False,False,54.22222222222223,16.666666666666664,82.57,2.47,11
creator_136,France,French,Fashion,41.42,Developing,Consistent Active,Consistent recent activity supports ongoing community engagement.,Campaign Activation,False,False,False,False,False,True,69.77777777777777,58.333333333333336,73.03,0.8099999999999999,7
creator_137,UK,English,Fashion,58.89,Developing,Consistent Active,Consistent activity and strong engagement support ongoing community work.,Campaign Activation,False,False,False,True,True,True,89.55555555555556,16.666666666666664,65.34,3.92,5
creator_138,France,French,Food,70.47,Growth Potential,Growth Opportunity,Growth signals are strong; campaign participation can be developed.,Growth Support,False,True,False,True,True,True,85.55555555555557,0.0,71.78999999999999,4.29,5
creator_139,Germany,German,Lifestyle,42.34,Developing,Consistent Active,Consistent recent activity supports ongoing community engagement.,Campaign Activation,False,False,False,False,False,True,71.55555555555556,8.333333333333332,79.72,3.1,5
