creator_id,market,language,category,followers,avg_views,engagement_rate,follower_growth_30d,videos_30d,campaign_participation_90d,response_rate,conversion_rate,last_active_days
creator_028,Germany,German,Lifestyle,140489,69202,0.0619,0.0805,21,1,0.4915,0.0204,4
creator_029,Germany,German,Lifestyle,26178,65456,0.1293,0.1559,23,11,0.6532,0.0199,2
creator_030,Poland,Polish,Fashion,120666,101499,0.042,0.0208,22,7,0.8875,0.0074,5
creator_031,Germany,German,Food,119650,431777,0.1025,0.1703,14,6,0.9353,0.0785,2
creator_032,UK,English,Lifestyle,115928,139500,0.0791,0.0764,20,2,0.5701,0.0328,1
creator_033,UK,English,Fashion,15583,28452,0.1045,0.2105,15,1,0.5602,0.0235,2
creator_034,UK,English,Lifestyle,176160,136522,0.063,0.058,21,5,0.599,0.0069,4
creator_035,Netherlands,Dutch,Beauty,412775,1691559,0.0274,0.0529,9,8,0.6031,0.0138,12
creator_036,UK,English,Fitness,5221,14391,0.1116,0.2094,16,8,0.7923,0.0767,5
creator_037,Italy,Italian,Lifestyle,71469,209772,0.0947,0.1258,22,7,0.833,0.0275,6
creator_038,Poland,Polish,Lifestyle,114450,123230,0.0651,-0.01,12,2,0.6434,0.0257,10
creator_039,France,French,Food,132042,228323,0.0787,0.086,19,2,0.7465,0.0156,10
creator_040,Germany,German,Fashion,167749,128296,0.0274,-0.0771,1,0,0.3224,0.0153,9
creator_041,Poland,Polish,Technology,190545,430532,0.0561,0.03,10,6,0.7594,0.0364,12
creator_042,Spain,Spanish,Technology,371559,1654020,0.0286,0.0357,18,3,0.5282,0.0204,16
creator_043,Italy,Italian,Fitness,161103,76937,0.0834,0.016,1,2,0.4453,0.0057,36
creator_044,Spain,Spanish,Lifestyle,278311,161867,0.0417,-0.0725,8,0,0.5568,0.0086,17
creator_045,France,French,Fashion,55205,49986,0.1255,0.1883,12,9,0.7845,0.0503,6
creator_046,Poland,Polish,Food,23290,91187,0.0814,0.2237,26,3,0.7551,0.076,2
creator_047,Poland,Polish,Fitness,141591,10983,0.0773,-0.029,2,0,0.4685,0.0083,36
creator_048,Germany,German,Fitness,197839,313618,0.0441,0.0367,10,5,0.6904,0.0368,9
creator_049,UK,English,Fashion,129031,127010,0.045,0.016,13,2,0.6546,0.0175,6
creator_050,Netherlands,Dutch,Beauty,15911,12365,0.0814,0.1487,19,1,0.8296,0.0647,5
creator_051,UK,English,Beauty,425758,1518931,0.0161,-0.0074,14,3,0.582,0.007,8
creator_052,UK,English,Technology,196313,357766,0.0413,0.0719,12,1,0.7104,0.0376,9
creator_053,Netherlands,Dutch,Technology,6998,25267,0.0853,0.1819,28,1,0.5938,0.0641,6
creator_054,Spain,Spanish,Food,18766,39913,0.0541,0.0328,13,1,0.6777,0.0176,6
creator_055,UK,English,Technology,234221,148757,0.0846,-0.008,1,0,0.6036,0.0242,29
creator_056,Netherlands,Dutch,Fitness,122183,275085,0.0804,0.0492,13,7,0.5605,0.0378,4
creator_057,Germany,German,Food,22395,46973,0.1065,0.0363,18,1,0.7596,0.0348,2
creator_058,Poland,Polish,Lifestyle,153697,139046,0.0356,0.0848,9,2,0.774,0.0226,12
creator_059,France,French,Fitness,12520,19559,0.0401,0.0122,19,2,0.5878,0.0258,7
creator_060,Germany,German,Food,87214,14266,0.0417,-0.041,1,1,0.3268,0.0186,31
creator_061,France,French,Fashion,58211,143145,0.0469,0.0384,19,5,0.8895,0.0238,4
creator_062,Poland,Polish,Lifestyle,194079,638455,0.0221,0.0508,6,6,0.3228,0.0033,9
creator_063,UK,English,Fitness,58785,28854,0.063,-0.034,8,3,0.4202,0.0072,8
creator_064,Poland,Polish,Beauty,57521,56433,0.1093,0.1612,11,5,0.6992,0.0516,4
creator_065,Germany,German,Fitness,166942,368332,0.0678,0.0518,20,5,0.6212,0.0369,4
creator_066,Belgium,French,Food,131578,148450,0.0344,0.054,16,5,0.6128,0.0081,2
creator_067,UK,English,Beauty,58545,54733,0.106,0.1647,19,3,0.7264,0.061,7
creator_068,UK,English,Technology,409219,1557702,0.0364,0.0734,10,3,0.5723,0.0169,8
creator_069,UK,English,Lifestyle,82993,316272,0.1299,0.1595,19,10,0.691,0.0598,6
creator_070,France,French,Beauty,20096,85975,0.0828,0.125,18,4,0.6577,0.0164,5
creator_071,France,French,Technology,215830,48003,0.0343,-0.0948,0,1,0.4854,0.0122,29
creator_072,France,French,Fitness,31918,59262,0.0609,0.0308,13,6,0.4971,0.0115,6
creator_073,Germany,German,Food,10119,8436,0.0509,-0.0591,1,0,0.7336,0.0113,37
creator_074,UK,English,Fitness,221660,113163,0.018,-0.0404,10,3,0.5127,0.0233,13
creator_075,UK,English,Technology,354128,959334,0.0149,0.0773,13,5,0.6549,0.0091,0
creator_076,UK,English,Beauty,121465,37624,0.0952,-0.0158,0,1,0.713,0.0087,43
creator_077,Poland,Polish,Fashion,120243,37568,0.0596,-0.0501,2,2,0.6105,0.0051,23
creator_078,Spain,Spanish,Food,9254,11602,0.1374,0.0922,17,4,0.7994,0.0562,6
creator_079,France,French,Food,18307,73454,0.1064,0.2352,14,5,0.6527,0.0368,6
creator_080,UK,English,Technology,107937,71790,0.0562,0.0564,21,6,0.8914,0.0228,0
creator_081,Netherlands,Dutch,Beauty,14927,13870,0.087,0.2303,8,5,0.612,0.071,1
creator_082,Spain,Spanish,Food,463176,1847855,0.0259,-0.012,9,10,0.49,0.0093,15
creator_083,UK,English,Technology,94705,204954,0.1437,0.2495,12,9,0.9729,0.0644,1
creator_084,Italy,Italian,Beauty,175065,187394,0.0588,-0.0663,6,3,0.2728,0.0169,25
creator_085,UK,English,Food,119142,264088,0.1006,0.1835,25,12,0.6972,0.045,4
creator_086,Italy,Italian,Fitness,155801,168564,0.0523,-0.0818,8,2,0.6938,0.0104,20
creator_087,France,French,Fitness,353340,564609,0.0143,0.0181,9,6,0.7963,0.0088,12
creator_088,France,French,Technology,20856,23773,0.0851,0.0645,21,3,0.7991,0.0138,12
creator_089,Italy,Italian,Technology,196987,206591,0.0772,0.0581,10,6,0.4937,0.0273,0
creator_090,France,French,Technology,42448,95107,0.04,0.0195,19,4,0.529,0.0105,8
creator_091,Germany,German,Lifestyle,5891,15673,0.098,0.2114,23,2,0.871,0.0337,0
creator_092,UK,English,Fashion,185294,79533,0.0748,0.088,21,7,0.7008,0.0091,6
creator_093,France,French,Technology,22531,74938,0.0984,0.1138,28,2,0.5966,0.0264,0
creator_094,Netherlands,Dutch,Food,216060,925827,0.0359,0.0435,11,6,0.6246,0.0047,1
creator_095,Germany,German,Beauty,8193,20024,0.1421,0.0598,22,2,0.8383,0.062,4
creator_096,Spain,Spanish,Fitness,90841,196897,0.0779,0.1428,23,7,0.6608,0.0391,7
creator_097,UK,English,Technology,12536,59867,0.1181,0.2451,19,0,0.7212,0.0233,0
creator_098,Spain,Spanish,Fashion,89109,82551,0.1212,0.2439,11,8,0.7304,0.0232,3
creator_099,Spain,Spanish,Fashion,222158,591131,0.0231,-0.0052,18,2,0.4386,0.0246,4
creator_100,Spain,Spanish,Beauty,22275,24910,0.0712,0.2059,17,12,0.7568,0.0263,0
creator_101,France,French,Beauty,67422,209001,0.1059,0.116,28,4,0.7992,0.0294,0
creator_102,Poland,Polish,Lifestyle,128073,242831,0.0704,-0.0069,15,7,0.6307,0.0293,7
creator_103,France,French,Lifestyle,82769,71698,0.0186,-0.0684,11,4,0.4742,0.0111,26
creator_104,France,French,Beauty,191967,258822,0.0413,0.0555,22,7,0.6981,0.0354,6
creator_105,UK,English,Fitness,13565,49132,0.1091,0.0509,21,2,0.836,0.0362,1
creator_106,France,French,Beauty,17219,50125,0.1046,0.1964,21,5,0.8336,0.0531,5
creator_107,Germany,German,Fitness,31972,25608,0.0683,-0.031,6,0,0.489,0.008,28
creator_108,Poland,Polish,Food,12544,41841,0.088,0.0913,15,3,0.9134,0.0782,6
creator_109,Italy,Italian,Food,180446,205194,0.0806,0.0167,10,3,0.7662,0.0165,5
creator_110,UK,English,Technology,57531,126397,0.0756,0.1956,10,4,0.8962,0.029,6
creator_111,UK,English,Lifestyle,397582,631523,0.0338,0.0683,6,4,0.6772,0.0031,2
creator_112,Italy,Italian,Fitness,14071,45164,0.0991,0.1961,11,2,0.7349,0.0298,5
creator_113,France,French,Fashion,307231,509324,0.0494,-0.0145,7,6,0.7727,0.0196,8
creator_114,UK,English,Fitness,6257,5738,0.089,0.1472,15,4,0.7903,0.0568,2
creator_115,Poland,Polish,Beauty,65260,108031,0.1437,0.221,28,9,0.8392,0.0611,6
creator_116,Germany,German,Fashion,210561,97677,0.0953,-0.0402,2,1,0.2485,0.0214,28
creator_117,Germany,German,Lifestyle,102754,379115,0.0972,0.1099,15,4,0.8185,0.0224,3
creator_118,Germany,German,Technology,46716,26078,0.048,0.0046,11,2,0.7211,0.0318,10
creator_119,Netherlands,Dutch,Fitness,155779,345037,0.0768,0.0349,22,5,0.7393,0.0395,5
creator_120,Italy,Italian,Beauty,66462,147794,0.1054,0.1036,18,12,0.6685,0.048,4
creator_121,UK,English,Lifestyle,3014,9159,0.1251,0.245,10,4,0.8055,0.0369,4
creator_122,Spain,Spanish,Fitness,103691,153070,0.0327,-0.0453,3,0,0.4253,0.0247,17
creator_123,UK,English,Beauty,72944,88522,0.0739,0.0891,16,5,0.7244,0.0184,4
creator_124,Spain,Spanish,Beauty,173383,379412,0.0706,-0.0034,9,5,0.7553,0.0157,11
creator_125,Netherlands,Dutch,Fashion,95388,116670,0.0395,0.0564,22,3,0.5896,0.0283,10
creator_126,Italy,Italian,Lifestyle,147018,134789,0.0439,0.0029,0,2,0.5866,0.0238,42
creator_127,UK,English,Food,102851,257122,0.036,0.0209,11,3,0.8765,0.0225,3
creator_128,UK,English,Beauty,366175,375035,0.0408,0.0635,18,10,0.3189,0.0097,19
creator_129,Germany,German,Technology,106069,413631,0.12,0.2296,24,3,0.7856,0.059,3
creator_130,Italy,Italian,Fitness,69342,126510,0.0644,0.0209,20,7,0.6611,0.0344,5
creator_131,France,French,Lifestyle,13013,10795,0.1152,0.1221,13,1,0.8945,0.0197,2
creator_132,France,French,Beauty,23811,29724,0.1392,0.2173,17,0,0.8781,0.0291,4
creator_133,France,French,Fashion,214593,89454,0.0506,-0.0546,0,1,0.2293,0.0135,28
creator_134,UK,English,Lifestyle,151948,499040,0.0436,0.045,16,4,0.3688,0.0086,15
creator_135,UK,English,Fitness,169309,284210,0.0353,-0.0021,12,2,0.8257,0.0247,11
creator_136,France,French,Fashion,86944,143731,0.0417,0.0138,18,7,0.7303,0.0081,7
creator_137,UK,English,Fashion,24045,85122,0.0901,0.1244,27,2,0.6534,0.0392,5
creator_138,France,French,Food,18328,42196,0.1155,0.2474,25,0,0.7179,0.0429,5
creator_139,Germany,German,Lifestyle,25710,17486,0.054,0.0633,18,1,0.7972,0.031,5
creator_140,Germany,German,Technology,6237,23392,0.1381,0.1806,30,3,0.8216,0.0668,0
creator_141,Netherlands,Dutch,Fashion,10741,16497,0.1333,0.226,20,7,0.8201,0.0793,7
creator_142,Spain,Spanish,Lifestyle,125063,510075,0.0446,0.0132,5,7,0.5185,0.0112,14
creator_143,Germany,German,Fitness,181921,83515,0.0548,0.0202,2,1,0.6406,0.0187,23
creator_144,Belgium,French,Lifestyle,268407,874754,0.0141,0.0128,8,6,0.523,0.0185,5
creator_145,Germany,German,Lifestyle,85589,329021,0.1499,0.0977,11,4,0.8715,0.0414,2
creator_146,UK,English,Fitness,17122,28605,0.0419,0.0136,18,3,0.613,0.0383,0
creator_147,Italy,Italian,Lifestyle,116876,112492,0.0787,-0.0254,2,1,0.4189,0.0169,28
creator_148,UK,English,Food,302892,497441,0.0465,-0.0082,16,6,0.652,0.0069,19
creator_149,Netherlands,Dutch,Beauty,4947,24442,0.1397,0.1294,30,3,0.9788,0.0667,6
creator_150,Italy,Italian,Food,150126,310274,0.051,0.02,10,6,0.7693,0.0298,2
creator_151,France,French,Fashion,108817,295920,0.0811,0.206,10,8,0.8328,0.039,2
creator_152,UK,English,Technology,476894,1096807,0.0291,0.0211,10,3,0.3627,0.0093,2
creator_153,Italy,Italian,Food,21464,24604,0.1211,0.1989,12,3,0.7662,0.0708,6
creator_154,UK,English,Lifestyle,97973,109050,0.088,0.239,26,7,0.9292,0.0313,4
creator_155,Germany,German,Food,176031,195218,0.0443,0.0842,10,2,0.7464,0.0305,9
creator_156,Netherlands,Dutch,Beauty,15646,42866,0.0736,0.1747,28,7,0.8649,0.0649,6
creator_157,UK,English,Food,156871,57008,0.0503,-0.0653,4,3,0.3487,0.004,8
creator_158,Germany,German,Lifestyle,20379,23952,0.0901,0.2195,18,5,0.9749,0.0342,3
creator_159,Germany,German,Lifestyle,71370,158066,0.0607,0.0167,11,2,0.4936,0.0159,6
creator_160,Germany,German,Fashion,213748,105479,0.0395,-0.0249,1,0,0.6197,0.0135,37
creator_161,Poland,Polish,Beauty,13385,43221,0.1154,0.2427,14,4,0.7017,0.0135,3
creator_162,Poland,Polish,Lifestyle,148690,73602,0.0354,0.0007,10,3,0.7774,0.032,5
creator_163,UK,English,Lifestyle,153024,279855,0.0509,0.0286,15,7,0.6974,0.0341,9
creator_164,UK,English,Fitness,98331,8676,0.0815,-0.0559,1,0,0.3095,0.0137,37
creator_165,UK,English,Fitness,144139,176599,0.0601,0.0506,16,2,0.5976,0.0268,2
creator_166,Italy,Italian,Food,181356,108300,0.0429,-0.0414,8,4,0.3499,0.0248,18
creator_167,UK,English,Lifestyle,24267,76326,0.141,0.1684,27,3,0.6642,0.0559,6
creator_168,UK,English,Fitness,27349,36362,0.1119,0.1914,22,5,0.9211,0.0307,1
creator_169,France,French,Fitness,23126,85691,0.0943,0.1404,27,3,0.9253,0.0615,0
creator_170,France,French,Technology,133402,242701,0.0639,0.0214,10,4,0.8605,0.0176,5
creator_171,Poland,Polish,Technology,77300,156104,0.0686,0.0092,11,3,0.7011,0.0136,4
creator_172,Italy,Italian,Fitness,91110,165902,0.0614,0.046,22,7,0.7747,0.0158,9
creator_173,Germany,German,Lifestyle,203154,59650,0.0824,-0.0622,1,2,0.2435,0.0233,41
creator_174,France,French,Food,242151,170247,0.0473,0.0496,6,3,0.6078,0.0155,7
creator_175,Poland,Polish,Fashion,127520,562572,0.014,0.013,11,3,0.6406,0.0052,17
creator_176,UK,English,Fitness,133160,78280,0.0708,0.0656,12,3,0.5784,0.008,12
creator_177,France,French,Technology,17777,36526,0.0852,0.0075,22,7,0.5291,0.0373,6
creator_178,UK,English,Lifestyle,17821,26750,0.0355,0.0468,9,3,0.5781,0.0396,8
creator_179,Poland,Polish,Food,66344,49524,0.0918,0.2099,20,5,0.8913,0.0571,2
creator_180,Germany,German,Technology,497034,1045428,0.0177,0.0411,14,8,0.7135,0.0139,2
creator_181,UK,English,Fitness,85330,28743,0.0942,-0.0991,1,0,0.4457,0.0081,31
creator_182,Spain,Spanish,Technology,52127,155232,0.1254,0.053,13,10,0.7512,0.0414,4
creator_183,Italy,Italian,Lifestyle,161620,71929,0.0299,0.0245,1,0,0.4502,0.0247,32
creator_184,France,French,Food,22261,65090,0.1378,0.1976,29,4,0.9254,0.0157,3
creator_185,Germany,German,Beauty,37379,27902,0.0606,0.0038,4,4,0.4683,0.0066,23
creator_186,Italy,Italian,Fitness,31839,16595,0.0844,0.0345,8,4,0.5094,0.0201,9
creator_187,France,French,Technology,16413,17980,0.0368,-0.0061,12,1,0.4892,0.0033,18
creator_188,France,French,Beauty,66875,238726,0.0725,0.1259,14,9,0.7736,0.0729,7
creator_189,Poland,Polish,Technology,22185,25741,0.1412,0.0593,19,0,0.6267,0.0476,4
creator_190,Belgium,French,Beauty,161428,99652,0.0405,-0.0173,7,4,0.3896,0.0084,21
creator_191,Germany,German,Technology,201168,56052,0.0202,0.0052,1,2,0.6213,0.0223,21
creator_192,UK,English,Fitness,164705,141031,0.072,0.0772,11,6,0.4699,0.0209,8
creator_193,Poland,Polish,Food,42914,63589,0.0887,0.2324,28,8,0.8406,0.0652,5
creator_194,Poland,Polish,Food,58445,40608,0.0472,-0.0642,2,2,0.6838,0.023,41
creator_195,France,French,Lifestyle,89320,284892,0.1237,0.205,20,9,0.7847,0.0345,2
creator_196,France,French,Lifestyle,80681,54408,0.0593,0.0052,9,3,0.6839,0.0176,11
creator_197,Germany,German,Beauty,15238,11794,0.1393,0.0503,14,0,0.6654,0.0572,4
creator_198,UK,English,Food,297998,431740,0.0269,-0.076,6,2,0.6785,0.0024,13
creator_199,UK,English,Fitness,240215,76606,0.0318,-0.0214,0,1,0.7033,0.0147,45
creator_200,France,French,Lifestyle,76566,165645,0.0548,0.0783,15,1,0.8113,0.0306,12
creator_201,Netherlands,Dutch,Fitness,1998,7528,0.1194,0.0787,12,0,0.6621,0.0754,4
creator_202,Germany,German,Fashion,299145,1034555,0.0328,0.0046,12,7,0.4287,0.0209,20
creator_203,France,French,Lifestyle,52371,24668,0.0427,0.0447,10,5,0.8956,0.0385,8
creator_204,Poland,Polish,Technology,13217,7010,0.0788,-0.0464,2,0,0.2374,0.0055,27
creator_205,Germany,German,Technology,169616,256421,0.0852,0.0559,8,1,0.6895,0.02,0
creator_206,Germany,German,Beauty,132152,30703,0.0832,-0.0124,0,0,0.7049,0.0141,28
creator_207,France,French,Lifestyle,213088,228740,0.0193,0.0103,8,4,0.3216,0.0215,16
creator_208,Poland,Polish,Technology,16305,9353,0.0401,0.0279,16,4,0.4753,0.0063,2
creator_209,Poland,Polish,Lifestyle,156335,353921,0.0888,0.0874,22,5,0.8636,0.0138,11
creator_210,France,French,Beauty,94709,366793,0.144,0.2289,28,3,0.7092,0.0703,0
creator_211,France,French,Technology,112410,256598,0.0861,0.0199,17,2,0.705,0.0349,10
creator_212,Germany,German,Fashion,188698,210444,0.0748,0.0401,13,1,0.494,0.0139,1
creator_213,Spain,Spanish,Fitness,203282,93561,0.0394,-0.0176,1,1,0.3255,0.0147,33
creator_214,Italy,Italian,Beauty,170166,294589,0.0512,0.0146,9,1,0.5706,0.0189,12
creator_215,Spain,Spanish,Beauty,147983,339676,0.0102,0.0108,9,6,0.3511,0.004,13
creator_216,France,French,Beauty,3436,7924,0.1048,0.0505,27,2,0.9214,0.0109,3
creator_217,UK,English,Fashion,278208,104531,0.0243,-0.0562,3,2,0.3506,0.0158,9
creator_218,Germany,German,Beauty,289333,301472,0.0201,0.0047,14,9,0.5969,0.0065,3
creator_219,UK,English,Food,12948,15523,0.1363,0.1025,18,3,0.9007,0.0702,4
creator_220,Germany,German,Fashion,126069,99957,0.0383,0.0254,1,1,0.6042,0.0166,39
creator_221,Germany,German,Fitness,291373,1256405,0.0146,0.0364,13,10,0.39,0.0197,0
creator_222,France,French,Fitness,84370,145960,0.0807,-0.0031,21,7,0.8078,0.0289,2
creator_223,Germany,German,Technology,118920,152031,0.0784,-0.0026,17,4,0.712,0.0242,11
creator_224,UK,English,Technology,235250,48937,0.0831,-0.0228,0,0,0.6229,0.0171,32
creator_225,Italy,Italian,Technology,185595,160762,0.0706,0.0867,13,7,0.6437,0.0064,4
creator_226,Spain,Spanish,Technology,158794,178552,0.0472,0.0274,15,7,0.7558,0.0295,2
creator_227,UK,English,Fitness,16253,39327,0.0793,0.2375,14,8,0.7529,0.0446,3
creator_228,Germany,German,Technology,96326,282674,0.1062,0.0541,11,4,0.6575,0.0373,1
creator_229,UK,English,Fashion,135764,88012,0.0257,-0.0792,2,1,0.7272,0.0073,33
creator_230,UK,English,Fitness,15652,13024,0.0756,0.0783,15,5,0.6433,0.0062,3
creator_231,Spain,Spanish,Beauty,58347,76700,0.059,-0.0383,6,2,0.2985,0.0052,28
creator_232,France,French,Food,109879,206855,0.0686,0.0487,13,3,0.8305,0.027,10
creator_233,Germany,German,Beauty,184189,223931,0.0424,0.0018,12,1,0.5324,0.0296,8
creator_234,Italy,Italian,Fitness,56694,80973,0.0618,0.0437,22,6,0.8688,0.0119,2
creator_235,UK,English,Fitness,424749,1071111,0.0121,0.0159,4,9,0.3683,0.0207,17
creator_236,France,French,Fitness,194159,90994,0.0812,0.0389,9,5,0.4639,0.0319,4
creator_237,UK,English,Fitness,396563,1504215,0.0397,0.0566,12,10,0.3566,0.0046,17
creator_238,Germany,German,Beauty,236403,119336,0.045,0.0138,2,1,0.3489,0.03,21
creator_239,Poland,Polish,Beauty,106663,133087,0.135,0.0841,28,8,0.9341,0.0547,6
creator_240,UK,English,Fashion,131120,217309,0.0328,0.0332,13,10,0.3842,0.0245,9
creator_241,Germany,German,Technology,54925,60248,0.0225,-0.0137,7,0,0.6962,0.0263,11
creator_242,UK,English,Lifestyle,113590,220145,0.0898,0.2171,22,10,0.6969,0.0561,6
creator_243,UK,English,Beauty,113604,46031,0.0634,0.0178,22,3,0.6546,0.0226,9
creator_244,Spain,Spanish,Technology,128179,273300,0.0699,0.0597,21,1,0.8081,0.0195,6
creator_245,France,French,Lifestyle,277080,189459,0.0319,-0.0069,17,9,0.6942,0.0226,1
creator_246,Italy,Italian,Beauty,70136,96626,0.0661,-0.0818,8,0,0.6959,0.014,29
creator_247,Poland,Polish,Lifestyle,148937,330181,0.0362,0.005,9,4,0.3259,0.0164,7
creator_248,UK,English,Fashion,67496,267345,0.0762,0.1647,26,10,0.6531,0.0602,1
creator_249,France,French,Beauty,35008,68719,0.1006,0.1935,13,4,0.7534,0.0723,2
creator_250,Spain,Spanish,Technology,79896,92692,0.0188,-0.0352,10,1,0.42,0.0222,27
creator_251,Netherlands,Dutch,Fitness,64949,68875,0.0398,0.0,20,1,0.7153,0.0191,6
creator_252,UK,English,Beauty,230110,304155,0.0321,0.04,13,6,0.6895,0.0179,9
creator_253,Italy,Italian,Fitness,254949,778188,0.0358,0.0584,16,5,0.5474,0.0046,15
creator_254,UK,English,Beauty,194319,279530,0.0664,-0.0848,10,3,0.3827,0.0211,22
creator_255,Spain,Spanish,Beauty,6807,14279,0.091,0.0484,11,9,0.8172,0.0559,6
creator_256,Germany,German,Food,169493,258717,0.0434,-0.0016,9,5,0.8644,0.0391,2
creator_257,Germany,German,Technology,186534,108384,0.0704,0.021,14,6,0.879,0.0141,3
creator_258,France,French,Food,2303,3041,0.1017,0.1932,13,0,0.5554,0.0196,0
creator_259,Netherlands,Dutch,Technology,8995,18656,0.0917,0.0579,16,5,0.9312,0.064,0
creator_260,France,French,Lifestyle,23841,73771,0.1483,0.1681,23,3,0.7696,0.0139,6
creator_261,Germany,German,Beauty,400895,592605,0.037,-0.0085,15,10,0.3013,0.0217,0
creator_262,France,French,Fashion,6364,10770,0.1452,0.2186,25,5,0.8685,0.0394,2
creator_263,Netherlands,Dutch,Beauty,399649,1725012,0.0249,0.0302,18,2,0.3897,0.0205,1
creator_264,UK,English,Lifestyle,10680,41162,0.1029,0.1517,8,2,0.6363,0.0495,2
creator_265,Germany,German,Fitness,6903,20590,0.1313,0.1502,15,1,0.5527,0.0387,1
creator_266,Italy,Italian,Beauty,95822,236157,0.0351,0.0557,21,6,0.7772,0.0095,8
creator_267,Germany,German,Fashion,187055,182533,0.0352,-0.0943,0,2,0.4272,0.0226,35
creator_268,UK,English,Fashion,88521,147168,0.1356,0.0557,28,3,0.7935,0.0777,3
creator_269,Poland,Polish,Fitness,184191,145684,0.0849,-0.0576,1,1,0.3285,0.0237,25
creator_270,France,French,Fashion,63925,142491,0.1073,0.1254,27,8,0.9683,0.0285,4
creator_271,Poland,Polish,Technology,44874,136722,0.1361,0.1863,11,6,0.9259,0.0363,1
creator_272,Netherlands,Dutch,Beauty,22689,88295,0.1009,0.2104,13,0,0.9594,0.0698,4
creator_273,Germany,German,Fashion,4479,15109,0.0808,0.2127,15,1,0.6352,0.038,5
creator_274,Italy,Italian,Lifestyle,27657,30319,0.0362,-0.0036,22,6,0.6495,0.0104,12
creator_275,UK,English,Fashion,19305,29821,0.1103,0.1894,23,0,0.7146,0.0399,2
creator_276,UK,English,Fashion,118166,87905,0.0346,0.0417,14,6,0.5494,0.0223,15
creator_277,Germany,German,Fashion,89233,203715,0.1408,0.1504,30,11,0.9123,0.0793,5
creator_278,Spain,Spanish,Food,16962,68281,0.1025,0.0895,8,2,0.8068,0.0121,6
creator_279,UK,English,Food,94198,77757,0.079,0.0299,0,0,0.3363,0.0075,38
creator_280,Netherlands,Dutch,Fashion,80457,298988,0.1377,0.2075,21,5,0.7081,0.0535,5
creator_281,UK,English,Food,155746,119717,0.0428,0.0848,21,7,0.8467,0.0227,4
creator_282,UK,English,Food,33679,125689,0.0716,0.1404,20,12,0.7165,0.0235,2
creator_283,Poland,Polish,Beauty,177443,353885,0.0335,0.0717,16,3,0.7232,0.0218,2
creator_284,Netherlands,Dutch,Beauty,11528,39845,0.1011,0.06,13,5,0.9579,0.0654,3
creator_285,UK,English,Technology,233703,174645,0.0936,0.0023,0,2,0.5239,0.006,30
creator_286,Germany,German,Beauty,97013,272687,0.1459,0.1222,28,3,0.7101,0.0357,3
creator_287,UK,English,Lifestyle,24923,92699,0.0854,0.1063,18,1,0.8236,0.0774,6
creator_288,Italy,Italian,Fitness,10974,2359,0.0296,-0.0713,2,2,0.3283,0.005,7
